id,school,homepage,portal,library,map,###
1,가야대학교,http://www.kaya.ac.kr/main/kaya_main.aspx,https://portal.kaya.ac.kr/,https://lib.kaya.ac.kr/,https://www.kaya.ac.kr/Home/Contents.mbz?action=MAPP_0000000031,###
2,가천대학교,www.gachon.ac.kr,https://cyber.gachon.ac.kr,https://lib.gachon.ac.kr,http://gachon.k2web.co.kr/campusMap/kor/view.do,###
3,가톨릭관동대학교,www.cku.ac.kr,https://tlms.cku.ac.kr/,https://library.cku.ac.kr/,https://www.cku.ac.kr/cku/470/subview,###
4,가톨릭대학교,www.catholic.ac.kr,https://uportal.catholic.ac.kr/,https://library.catholic.ac.kr/,http://ipsi.catholic.ac.kr/pages/?p=54,###
5,감리교신학대학교,www.mtu.ac.kr,https://tis.mtu.ac.kr/,https://lib.mtu.ac.kr,https://www.mtu.ac.kr/kor/CMS/CampusMgr/list.do?mCode=MN131,###
6,강남대학교,www.kangnam.ac.kr,https://ecampus.kangnam.ac.kr,https://lib.kangnam.ac.kr,https://web.kangnam.ac.kr/menu/183cf81ad3b35044012126decdcb581a.do,###
7,강릉원주대학교,www.gwnu.ac.kr,http://lion.gwnu.ac.kr,https://iskul.gwnu.ac.kr,https://www.gwnu.ac.kr/kor/187/subview.do,###
8,강원대학교,www.kangwon.ac.kr/,https://kcloud.kangwon.ac.kr,https://library.kangwon.ac.kr/,https://www.kangwon.ac.kr/site/campusmap/chuncheon.html,###
9,건국대학교,www.konkuk.ac.kr,http://portal.konkuk.ac.kr,http://library.konkuk.ac.kr,https://www.konkuk.ac.kr/jsp/Intro/intro_07_01.jsp,###
10,건양대학교,www.konyang.ac.kr,https://portal.kyu.ac.kr/,https://lib.konyang.ac.kr,https://www.konyang.ac.kr/cyber/,###
11,경기대학교,www.kyonggi.ac.kr,https://lms.kyonggi.ac.kr/,http://library.kyonggi.ac.kr/,http://www.kyonggi.ac.kr/webService.kgu?menuCode=K00M000203,###
12,경남과학기술대학교,www1.gntech.ac.kr/web/www/,https://ptl.gntech.ac.kr/,http://gntech.ac.kr/html/themes/m/web/view.jsp?menuId=414,https://www.gntech.ac.kr/web/www/34,###
13,경남대학교,www.kyungnam.ac.kr,https://portal.kyungnam.ac.kr/main.do,https://library.kyungnam.ac.kr/,https://www.kyungnam.ac.kr/sub/01/09.asp,###
14,경동대학교,www.kduniv.ac.kr,,,,###
15,경북대학교,www.knu.ac.kr,https://my.knu.ac.kr/,https://kudos.knu.ac.kr/,http://www.knu.ac.kr/bbs/xml/kmap.jsp,###
16,경상국립대학교,https://newgh.gnu.ac.kr/main/main.do,,,,###
17,경성대학교,http://ks.ac.kr,,,,###
18,경운대학교,www.ikw.ac.kr,,,,###
19,경인교육대학교,www.ginue.ac.kr,,,,###
20,경일대학교,www.kiu.ac.kr,,,,###
21,경주대학교,www.gu.ac.kr,,,,###
22,경희대학교,www.khu.ac.kr,https://portal.khu.ac.kr,https://library.khu.ac.kr/seoul,https://www.khu.ac.kr/kor/sub/tab.do?MENU_SEQ=202,###
23,계명대학교,www.kmu.ac.kr,,,,###
24,고려대학교,www.korea.ac.kr,https://portal.korea.ac.kr/front/Intro.kpd,https://library.korea.ac.kr/,http://www.korea.ac.kr/mbshome/mbs/university/subview5.jsp?id=university_010501000000,###
25,고신대학교,www.kosin.ac.kr,,,,###
26,공주교육대학교,www.gjue.ac.kr,,,,###
27,공주대학교,http://www.kongju.ac.kr/,,,,###
28,광신대학교,www.kwangshin.ac.kr,,,,###
29,광운대학교,www.kw.ac.kr,https://klas.kw.ac.kr/,https://kupis.kw.ac.kr/,https://www.kw.ac.kr/ko/tour/tour01.jsp,###
30,광주가톨릭대학교,www.gjcatholic.ac.kr,,,,###
31,광주과학기술원,www.gist.ac.kr,,,,###
32,광주교육대학교,www.gnue.ac.kr,,,,###
33,광주대학교,www.gwangju.ac.kr,,,,###
34,광주여자대학교,www.kwu.ac.kr,,,,###
35,국민대학교,www.kookmin.ac.kr,https://portal.kookmin.ac.kr/,https://lib.kookmin.ac.kr/,https://www.kookmin.ac.kr/user/unIntr/campusGuide/bukakCampusGuide/index.do,###
36,군산대학교,www.kunsan.ac.kr/index.kunsan,,,,###
37,극동대학교,www.kdu.ac.kr,,,,###
38,금강대학교,www.ggu.ac.kr,,,,###
39,금오공과대학교,www.kumoh.ac.kr,,,,###
40,김천대학교,www.gimcheon.ac.kr,,,,###
41,꽃동네대학교,www.kkot.ac.kr,,,,###
42,나사렛대학교,www.kornu.ac.kr,,,,###
43,남부대학교,www.nambu.ac.kr,,,,###
44,남서울대학교,http://www.nsu.ac.kr,,,,###
45,단국대학교,www.dankook.ac.kr,https://portal.dankook.ac.kr/web/portal,https://lib.dankook.ac.kr,https://www.dankook.ac.kr/web/kor/campusmap,###
46,대구가톨릭대학교,http://www.cu.ac.kr/,,,,###
47,대구경북과학기술원,www.dgist.ac.kr,,,,###
48,대구교육대학교,http://www.dnue.ac.kr,,,,###
49,대구대학교,www.daegu.ac.kr,,,,###
50,대구예술대학교,www.dgau.ac.kr,,,,###
51,대구한의대학교,www.dhu.ac.kr,,,,###
52,대신대학교,www.daeshin.ac.kr,,,,###
53,대전가톨릭대학교,dcatholic.ac.kr,,,,###
54,대전대학교,www.dju.ac.kr,,,,###
55,대전신학대학교,www.daejeon.ac.kr,,,,###
56,대진대학교,www.daejin.ac.kr,,,,###
57,덕성여자대학교,www.duksung.ac.kr,,,,###
58,동국대학교,http://www.dongguk.edu,https://portal.dongguk.edu/,https://lib.dongguk.edu/,https://www.dongguk.edu/mbs/kr/subview.jsp?id=kr_010702010000,###
59,동덕여자대학교,www.dongduk.ac.kr,https://eclass.dongduk.ac.kr/ilos/main/member/login_form.acl,https://library.dongduk.ac.kr/,https://www.dongduk.ac.kr/kor/intro/positioninfo01.do,###
60,동명대학교,www.tu.ac.kr,,,,###
61,동서대학교,www.dongseo.ac.kr,,,,###
62,동신대학교,www.dsu.ac.kr,,,,###
63,동아대학교,www.donga.ac.kr,,,,###
64,동양대학교,www.dyu.ac.kr,,,,###
65,동의대학교,www.deu.ac.kr,,,,###
66,루터대학교,www.ltu.ac.kr,,,,###
67,명지대학교 자연캠퍼스,www.mju.ac.kr,,,,###
68,목원대학교,www.mokwon.ac.kr,,,,###
69,목포가톨릭대학교,http://www.mcu.ac.kr,,,,###
70,목포대학교,www.mokpo.ac.kr,,,,###
71,목포해양대학교,www.mmu.ac.kr,,,,###
72,배재대학교,www.pcu.ac.kr,,,,###
73,백석대학교,www.bu.ac.kr,,,,###
74,부경대학교,www.pknu.ac.kr,,,,###
75,부산가톨릭대학교,www.cup.ac.kr ,,,,###
76,부산교육대학교,www.bnue.ac.kr,,,,###
77,부산대학교,www.pusan.ac.kr,,,,###
78,부산외국어대학교,www.bufs.ac.kr,,,,###
79,부산장신대학교,www.bpu.ac.kr,,,,###
80,삼육대학교,http://www.syu.ac.kr,,,,###
81,상명대학교,www.smu.ac.kr,,,,###
82,상지대학교,www.sangji.ac.kr,,,,###
83,서강대학교,www.sogang.ac.kr,,,,###
84,서경대학교,www.skuniv.ac.kr,,,,###
85,서울과학기술대학교,www.seoultech.ac.kr,,,,###
86,서울교육대학교,www.snue.ac.kr,,,,###
87,서울기독대학교,,,,,###
88,서울대학교,www.snu.ac.kr,,,,###
89,서울시립대학교,www.uos.ac.kr,,,,###
90,서울신학대학교,www.stu.ac.kr,,,,###
91,서울여자대학교,www.swu.ac.kr,,,,###
92,서울장신대학교,www.sjs.ac.kr,,,,###
93,서울한영대학교,www.hytu.ac.kr,,,,###
94,서원대학교,www.seowon.ac.kr,,,,###
95,선문대학교,www.sunmoon.ac.kr,,,,###
96,성결대학교,www.sungkyul.edu,,,,###
97,성공회대학교,www.skhu.ac.kr,,,,###
98,성균관대학교,http://www.skku.edu,,,,###
99,성신여자대학교,www.sungshin.ac.kr,,,,###
100,세명대학교,http://www.semyung.ac.kr,,,,###
101,세종대학교,www.sejong.ac.kr,,,,###
102,세한대학교,www.sehan.ac.kr,,,,###
103,송원대학교,www.songwon.ac.kr,,,,###
104,수원가톨릭대학교,www.suwoncatholic.ac.kr,,,,###
105,수원대학교,suwon.ac.kr,,,,###
106,숙명여자대학교,www.sookmyung.ac.kr,https://portal.sookmyung.ac.kr,https://lib.sookmyung.ac.kr,https://www.sookmyung.ac.kr/sookmyungkr/972/subview.do,###
107,순천대학교,www.sunchon.ac.kr,,,,###
108,순천향대학교,www.sch.ac.kr,,,,###
109,숭실대학교,www.ssu.ac.kr,,,,###
110,신경대학교,www.sgu.ac.kr,,,,###
111,신라대학교,www.silla.ac.kr,,,,###
112,신한대학교,http://www.shinhan.ac.kr,,,,###
113,아세아연합신학대학교,www.acts.ac.kr,,,,###
114,아주대학교,www.ajou.ac.kr,https://portal.ajou.ac.kr,https://library.ajou.ac.kr,https://www.ajou.ac.kr/kr/intro/way01.do,###
115,안동대학교,www.andong.ac.kr,,,,###
116,안양대학교,www.anyang.ac.kr/main.do,,,,###
117,연세대학교,www.yonsei.ac.kr,,,,###
118,영남대학교,www.yu.ac.kr,,,,###
119,영남신학대학교,www.ytus.ac.kr,,,,###
120,영산대학교,www.ysu.ac.kr,,,,###
121,영산선학대학교,www.youngsan.ac.kr,,,,###
122,예수대학교,www.jesus.ac.kr,,,,###
123,예원예술대학교,www.yewon.ac.kr,,,,###
124,용인대학교,www.yongin.ac.kr,,,,###
125,우석대학교,www.woosuk.ac.kr,,,,###
126,우송대학교(본교),www.wsu.ac.kr,,,,###
127,울산과학기술원,www.unist.ac.kr,,,,###
128,울산대학교,www.ulsan.ac.kr,,,,###
129,원광대학교,www.wonkwang.ac.kr,,,,###
130,위덕대학교,www.uu.ac.kr,,,,###
131,유원대학교,www.u1.ac.kr,,,,###
132,을지대학교,www.eulji.ac.kr,,,,###
133,이화여자대학교,www.ewha.ac.kr,,,,###
134,인제대학교,www.inje.ac.kr,,,,###
135,인천가톨릭대학교,www.iccu.ac.kr,,,,###
136,인천대학교,www.inu.ac.kr,,,,###
137,인하대학교,www.inha.ac.kr,,,,###
138,장로회신학대학교,www.puts.ac.kr,,,,###
139,전남대학교,http://www.jnu.ac.kr,,,,###
140,전북대학교,www.jbnu.ac.kr,,,,###
141,전주교육대학교,WWW.JNUE.KR,,,,###
142,전주대학교,www.jj.ac.kr,,,,###
143,제주국제대학교,www.jeju.ac.kr,,,,###
144,제주대학교,www.jejunu.ac.kr,,,,###
145,조선대학교,www.chosun.ac.kr,,,,###
146,중부대학교,www.joongbu.ac.kr,,,,###
147,중앙대학교,www.cau.ac.kr,,,,###
148,중앙승가대학교,https://admission.sangha.ac.kr,,,,###
149,중원대학교,www.jwu.ac.kr,,,,###
150,진주교육대학교,www.cue.ac.kr,,,,###
151,차의과학대학교,www.cha.ac.kr,,,,###
152,창신대학교,www.cs.ac.kr,,,,###
153,창원대학교,www.changwon.ac.kr,,,,###
154,청주교육대학교,www.cje.ac.kr,,,,###
155,청주대학교,www.cju.ac.kr,,,,###
156,초당대학교,www.cdu.ac.kr,,,,###
157,총신대학교,www.chongshin.ac.kr,,,,###
158,추계예술대학교,www.chugye.ac.kr,,,,###
159,춘천교육대학교,www.cnue.ac.kr,,,,###
160,충남대학교,http://www.cnu.ac.kr,,,,###
161,충북대학교,www.chungbuk.ac.kr,,,,###
162,칼빈대학교,www.calvin.ac.kr,,,,###
163,케이씨대학교,kcu.ac.kr,,,,###
164,평택대학교,www.ptu.ac.kr,,,,###
165,포항공과대학교,www.postech.ac.kr,,,,###
166,한경대학교,www.hknu.ac.kr,,,,###
